ESTAÇÃO	CONSTANTE	            H	          GR	REFERENCIADA
10572      2M2N8               0.23         254.49       S
10572      2M2S8               0.22         358.41       S
10572      2M2SK6              0.27         25.08        S
10572      2M2SO9              0.15         300.26       S
10572      2MK5                0.46         226.29       N
10572      2MK6                0.29         220.03       S
10572      2MN6                0.25         125.59       S
10572      2MNK8               0.46         309.34       S
10572      2MNSK10             0.19         56.27        S
10572      2MO5                0.48         209.51       S
10572      2MP3                0.39         87.96        S
10572      2MS6                0.48         205.09       S
10572      2MSK7               0.11         237.22       S
10572      2MSN8               0.15         264.84       S
10572      2MSO7               0.16         156.65       S
10572      2MSP7               0.09         213.63       S
10572      2N2                 1.96         163.01       S
10572      2SM6                0.14         328.90       S
10572      3M2S10              0.18         97.60        S
10572      3M2SO11             0.11         58.78        S
10572      3MK7                0.14         188.98       S
10572      3MK8                0.28         329.04       S
10572      3MN4                0.73         145.26       S
10572      3MN8                0.51         245.25       S
10572      3MNK9               0.10         203.39       S
10572      3MNO9               0.12         181.56       S
10572      3MNOS7              0.09         157.32       S
10572      3MO7                0.12         140.42       S
10572      3MS4                0.56         66.91        S
10572      3MS8                0.61         318.44       S
10572      3MSK9               0.12         315.97       S
10572      3MSN10              0.14         36.10        S
10572      3MSN6               0.15         39.92        S
10572      3MSO9               0.26         245.05       S
10572      4MK9                0.13         250.68       S
10572      4MN10               0.26         337.31       S
10572      4MN6                0.22         5.46         S
10572      4MNO11              0.10         281.99       S
10572      4MNP11              0.05         294.48       S
10572      4MO9                0.17         224.17       S
10572      4MS10               0.30         43.22        S
10572      4MS6                0.16         213.24       S
10572      4MSK11              0.09         39.78        S
10572      4MSN12              0.06         119.62       S
10572      4MSO11              0.12         338.65       S
10572      5MN12               0.06         57.84        S
10572      5MO11               0.09         321.20       S
10572      5MS12               0.09         123.74       S
10572      J1                  0.63         274.68       S
10572      K1                  4.39         76.81        S
10572      K2                  2.71         266.08       S
10572      L2                  4.63         206.98       S
10572      LAMBD2              2.83         212.94       S
10572      M1                  1.98         196.11       S
10572      M10                 0.26         1.94         S
10572      M2                  50.44        197.38       S
10572      M3                  0.53         131.63       S
10572      M4                  5.23         291.86       S
10572      M6                  0.50         151.64       S
10572      M8                  0.65         277.45       S
10572      MK3                 1.46         151.43       S
10572      MK4                 0.77         354.17       S
10572      MKS2                2.64         272.43       S
10572      MM                  5.35         23.73        S
10572      MN4                 1.85         267.82       S
10572      MNK5                0.21         47.54        S
10572      MNO5                0.24         190.14       S
10572      MNU4                0.52         243.74       S
10572      MO3                 2.08         118.86       S
10572      MP1                 1.16         185.31       S
10572      MS4                 2.09         336.13       S
10572      MSF                 12.39        58.23        S
10572      MSK5                0.20         247.47       S
10572      MSN2                1.12         63.07        S
10572      MSNK8               0.31         330.71       S
10572      MU2                 6.35         309.30       S
10572      N2                  7.02         145.48       S
10572      N4                  0.56         266.40       S
10572      NU2                 2.94         153.86       S
10572      O1                  2.81         52.96        S
10572      OP2                 2.12         238.53       S
10572      P1                  1.08         116.71       S
10572      S2                  6.79         248.68       S
10572      S5                  0.14         137.43       S
10572      SIGMA1              0.49         179.04       S
10572      SL4                 0.29         335.95       S
10572      SO1                 1.30         279.54       S
10572      SO3                 0.84         131.59       S
10572      SSA                 9.76         284.93       S
10572      T2                  1.70         348.30       S
10620      2MS6                2.10         165.40       S
10620      2N2                 2.80         4.80         S
10620      2SM2                1.90         347.30       S
10620      K1                  6.40         8.20         S
10620      K2                  8.90         126.00       S
10620      K1J2                4.20         89.10        S
10620      L2                  15.40        144.40       S
10620      LAMBD2              4.80         180.00       S
10620      M2                  117.00       112.80       S
10620      M4                  19.60        148.10       S
10620      M6                  2.60         125.90       S
10620      MF                  4.10         51.40        S
10620      MK3                 2.40         60.60        S
10620      MK4                 3.90         159.50       S
10620      MKS2                2.20         60.30        S
10620      MM                  7.90         46.00        S
10620      MN4                 8.30         115.20       S
10620      MNS2                4.20         236.40       S
10620      MO3                 2.70         39.70        S
10620      MS4                 9.30         181.80       S
10620      MSF                 12.20        40.10        S
10620      MU2                 8.20         285.00       S
10620      N2                  23.50        85.50        S
10620      NU2                 6.80         78.10        S
10620      O1                  5.30         358.80       S
10620      OP2                 5.60         185.90       S
10620      P1                  5.30         16.20        S
10620      S2                  27.00        147.10       S
10620      SA                  24.10        45.20        S
10620      SN4                 2.10         84.40        S
10620      SSA                 4.60         338.80       S
10620      T2                  6.40         112.10       S
10650      2M2N8               0.65         260.14       S
10650      2M2S8               0.73         44.85        S
10650      2M2SO9              0.67         333.87       S
10650      2MK5                1.56         294.18       N
10650      2MK6                1.29         131.00       S
10650      2MKS4               2.71         13.90        S
10650      2MN6                2.00         51.85        S
10650      2MS6                3.24         111.39       S
10650      2MSK4               1.62         245.78       S
10650      2MSN8               0.99         281.79       S
10650      2MSNK6              0.82         8.41         S
10650      2N2                 3.79         326.44       S
10650      2NM6                0.69         10.94        S
10650      2PO1                2.08         152.65       S
10650      2SM2                4.14         291.28       S
10650      2SM6                2.21         138.47       S
10650      2SMK7               0.98         319.21       S
10650      3MK8                0.82         320.11       S
10650      3MN4                1.63         129.04       S
10650      3MN8                1.35         270.28       S
10650      3MNKS12             0.64         152.54       S
10650      3MS4                1.68         124.10       S
10650      3MS8                2.18         334.12       S
10650      3MSK10              0.87         257.22       S
10650      3MSK6               0.87         78.27        S
10650      3MSN10              0.78         196.87       S
10650      4MN10               0.77         162.92       S
10650      4MN6                0.93         276.86       S
10650      4MNK11              0.39         219.02       S
10650      4MNP11              0.35         194.87       S
10650      4MS10               0.94         253.38       S
10650      4MS6                0.70         315.92       S
10650      4MSN12              0.39         26.42        S
10650      5MS12               0.29         75.79        S
10650      K1                  3.09         277.65       S
10650      K2                  13.57        36.79        S
10650      L2                  8.84         47.57        S
10650      LAMBD2              4.71         49.83        S
10650      M10                 0.77         213.66       S
10650      M12                 0.28         68.16        S
10650      M2                  149.96       1.18         S
10650      M3                  1.48         95.18        S
10650      M4                  13.99        279.03       S
10650      M6                  2.93         78.63        S
10650      M8                  1.80         299.53       S
10650      MK3                 4.31         358.60       S
10650      MK4                 2.93         331.56       S
10650      MKS2                6.10         67.43        S
10650      MM                  13.52        40.74        S
10650      MN4                 5.43         240.65       S
10650      MNS2                2.77         184.75       S
10650      MNU4                1.53         243.85       S
10650      MP1                 4.10         191.30       S
10650      MS4                 5.72         282.14       S
10650      MSF                 13.56        42.02        S
10650      MSK5                1.55         353.48       S
10650      MSN2                3.95         290.25       S
10650      MSN6                1.13         76.97        S
10650      MSNK8               1.29         55.26        S
10650      MU2                 11.40        191.30       S
10650      N2                  26.89        321.93       S
10650      NU2                 7.96         335.75       S
10650      O1                  4.93         180.34       S
10650      OP2                 6.08         93.28        S
10650      Q1                  2.52         147.47       S
10650      S2                  30.16        34.98        S
10650      SO1                 4.10         178.37       S
10650      SO3                 6.67         331.94       S
10650      SQ3                 2.55         298.77       S
10650      SSA                 47.52        74.37        S
20520      2MK6                1.80         47.00        S
20520      2MN6                3.20         355.00       S
20520      2MS6                7.00         49.00        S
20520      2N2                 3.70         188.00       S
20520      2Q1                 0.10         304.00       S
20520      2SM2                1.60         30.00        S
20520      2SM6                1.70         110.00       S
20520      FI1                 0.00         140.00       S
20520      J1                  0.60         266.00       S
20520      K1                  11.20        247.00       S
20520      K2                  14.00        240.00       S
20520      K1J2                1.70         75.00        S
20520      L2                  7.40         194.00       S
20520      LAMBD2              2.50         20.00        S
20520      M1                  0.20         354.00       S
20520      M2                  172.50       211.00       S
20520      M3                  2.40         6.00         S
20520      M4                  8.20         316.00       S
20520      M6                  5.50         13.10        S
20520      MF                  1.40         8.00         S
20520      MK3                 1.40         40.00        S
20520      MK4                 0.80         349.00       S
20520      MKS2                3.50         6.00         S
20520      MM                  2.20         25.00        S
20520      MN4                 3.10         336.00       S
20520      MNS2                2.60         257.00       S
20520      MO3                 1.60         13.00        S
20520      MP1                 0.60         143.00       S
20520      MS4                 6.60         5.00         S
20520      MSF                 2.80         27.00        S
20520      MSK6                0.50         123.00       S
20520      MSN2                6.80         31.00        S
20520      MSN6                1.10         66.00        S
20520      MU2                 9.00         279.00       S
20520      N2                  32.40        202.00       S
20520      NU2                 6.20         185.00       S
20520      O1                  9.60         223.00       S
20520      OO1                 0.50         254.00       S
20520      OP2                 4.20         37.00        S
20520      OQ2                 1.60         151.00       S
20520      P1                  2.90         245.00       S
20520      PI1                 0.30         119.00       S
20520      PSI1                0.60         276.00       S
20520      Q1                  1.50         230.00       S
20520      QUI1                0.30         5.00         S
20520      R2                  3.20         3.00         S
20520      RO1                 0.30         176.00       S
20520      S1                  0.50         204.00       S
20520      S2                  55.70        246.00       S
20520      S4                  1.50         90.00        S
20520      SA                  2.10         311.00       S
20520      SIGMA1              0.30         340.00       S
20520      SK3                 1.30         65.00        S
20520      SK4                 0.30         230.00       S
20520      SN4                 1.20         67.00        S
20520      SO1                 0.40         84.00        S
20520      SO3                 1.20         324.00       S
20520      SSA                 7.60         3.00         S
20520      T2                  4.40         184.00       S
20520      TETA1               0.30         100.00       S
20533      2MN6                2.20         14.67        S
20533      2MS6                2.74         123.16       S
20533      2N2                 6.14         161.82       S
20533      K1                  9.65         252.11       S
20533      K2                  8.66         241.24       S
20533      L2                  22.57        251.56       S
20533      LAMBD2              1.03         230.23       S
20533      M2                  147.11       221.96       S
20533      M4                  6.42         52.35        S
20533      M6                  2.38         56.91        S
20533      MK3                 2.82         59.96        S
20533      MO3                 3.45         46.45        S
20533      MSF                 7.56         340.88       S
20533      MU2                 22.47        156.99       S
20533      N2                  46.52        191.89       S
20533      NU2                 8.84         195.92       S
20533      O1                  8.78         221.21       S
20533      P1                  3.19         249.80       S
20533      S2                  31.84        239.79       S
20533      T2                  1.88         239.08       S
30110      2MN6                1.06         253.00       S
30110      2MS6                3.01         297.19       S
30110      2N2                 5.88         197.83       S
30110      2Q1                 0.25         188.33       S
30110      2SM6                0.81         354.16       S
30110      3MS8                0.62         29.06        S
30110      FI1                 0.13         239.01       S
30110      K1                  9.34         237.17       S
30110      K2                  16.73        254.05       S
