ESTAÇÃO	CONSTANTE	            H	          GR	REFERENCIADA
30443      MS4                 1.71         121.72       S
30443      MSF                 9.43         18.48        S
30443      MTM                 6.64         275.53       S
30443      MU2                 5.16         142.01       S
30443      N2                  19.23        138.07       S
30443      NU2                 3.65         139.04       S
30443      O1                  3.90         198.66       S
30443      P1                  0.90         161.07       S
30443      S2                  27.88        166.05       S
30443      T2                  1.64         165.22       S
30445      2MN6                0.64         141.13       S
30445      2MS6                0.79         188.60       S
30445      2N2                 2.26         125.23       S
30445      K1                  9.21         199.76       S
30445      K2                  7.84         163.15       S
30445      L2                  5.89         106.87       S
30445      LAMBD2              0.59         151.31       S
30445      M2                  84.83        142.41       S
30445      M4                  4.27         208.37       S
30445      M6                  1.13         159.24       S
30445      MK3                 1.91         182.24       S
30445      MKL6                0.64         74.83        S
30445      MN4                 1.74         204.88       S
30445      MS4                 3.14         213.37       S
30445      MSN6                0.62         230.40       S
30445      N2                  17.14        133.82       S
30445      N4                  0.94         193.76       S
30445      NU2                 3.26         134.97       S
30445      O1                  6.46         199.90       S
30445      P1                  3.05         199.77       S
30445      Q1                  1.79         167.78       S
30445      S2                  28.84        161.59       S
30445      S4                  1.06         255.84       S
30445      SK3                 1.28         273.79       S
30445      SN4                 0.79         211.13       S
30445      T2                  1.70         160.83       S
30461      2N2                 2.79         116.10       S
30461      3MN4                0.64         96.37        S
30461      3MS4                0.59         12.60        S
30461      K1                  4.84         234.01       S
30461      K2                  7.43         139.09       S
30461      K1J2                0.51         330.06       S
30461      L2                  2.83         121.93       S
30461      LAMBD2              0.73         66.11        S
30461      M2                  78.42        124.72       S
30461      M3                  0.61         149.42       S
30461      M4                  2.67         349.02       S
30461      M6                  0.57         160.43       S
30461      MF                  1.85         348.63       S
30461      MK4                 0.69         25.02        S
30461      MN4                 1.05         346.49       S
30461      MNS2                0.66         108.28       S
30461      MS4                 2.08         17.38        S
30461      MSF                 2.86         223.89       S
30461      MST2                0.74         242.35       S
30461      MTS2                0.97         198.99       S
30461      MU2                 2.79         120.19       S
30461      N2                  15.99        114.54       S
30461      NU2                 2.86         114.19       S
30461      O1                  4.88         161.04       S
30461      P1                  1.72         226.50       S
30461      Q1                  1.47         128.97       S
30461      S1                  0.67         72.47        S
30461      S2                  26.62        142.46       S
30461      SA                  3.39         45.37        S
30461      SN4                 0.51         29.82        S
30461      SSA                 1.73         151.70       S
30461      T2                  1.82         152.45       S
30540      2KN2S2              1.02         241.31       S
30540      2MKK7               0.10         153.71       S
30540      2N2                 2.70         100.23       S
30540      2SM2                1.00         264.08       S
30540      2SM6                0.27         354.80       S
30540      2SMK7               0.13         322.66       S
30540      3MN8                0.10         306.60       S
30540      3MS4                0.22         78.92        S
30540      3MS8                0.10         11.50        S
30540      3MSK9               0.08         312.12       S
30540      3SM8                0.13         207.04       S
30540      4MS10               0.12         166.51       S
30540      4MS6                0.12         317.73       S
30540      4SK9                0.11         282.31       S
30540      K1                  4.68         232.75       S
30540      K2                  7.93         134.60       S
30540      L2                  2.65         119.06       S
30540      LAMBD2              0.85         102.91       S
30540      M2                  80.50        123.20       S
30540      M3                  0.59         149.90       S
30540      M4                  0.75         330.72       S
30540      MF                  1.87         343.67       S
30540      MK4                 0.34         10.53        S
30540      MN4                 0.16         318.19       S
30540      MO3                 0.29         161.40       S
30540      MS4                 1.17         20.36        S
30540      MSN2                0.81         282.06       S
30540      MSN6                0.17         350.69       S
30540      MST2                1.01         104.02       S
30540      MTS2                1.34         358.08       S
30540      MU2                 2.44         122.12       S
30540      N2                  16.80        113.12       S
30540      NU2                 3.54         109.66       S
30540      O1                  5.12         161.57       S
30540      OP2                 0.85         9.96         S
30540      OQ2                 0.78         131.63       S
30540      P1                  1.57         229.16       S
30540      Q1                  1.27         125.85       S
30540      S1                  0.51         260.31       S
30540      S2                  28.33        142.40       S
30540      S4                  0.18         109.50       S
30540      SA                  8.48         90.50        S
30540      SL4                 0.17         311.51       S
30540      SSA                 4.34         39.50        S
30540      T2                  1.66         122.92       S
30645      2MNK7               1.09         204.06       S
30645      2N2                 2.52         53.90        S
30645      3MNOS7              0.68         222.10       S
30645      K1                  3.68         203.24       S
30645      K2                  7.70         134.74       S
30645      M2                  68.42        123.33       S
30645      M3                  1.52         114.79       S
30645      MM                  4.00         324.94       S
30645      MSNK7               0.68         104.35       S
30645      N2                  19.12        88.62        S
30645      NO3                 1.43         69.69        S
30645      NU2                 3.63         93.27        S
30645      O1                  4.36         182.99       S
30645      P1                  1.22         201.72       S
30645      S2                  28.31        133.88       S
30645      T2                  1.67         133.46       S
30685      2N2                 2.05         101.43       S
30685      K1                  3.90         230.37       S
30685      K2                  7.19         124.25       S
30685      L2                  3.22         158.67       S
30685      LAMBD2              0.53         116.61       S
30685      M2                  75.02        110.86       S
30685      MSN2                2.14         327.81       S
30685      N2                  15.57        106.15       S
30685      NU2                 2.96         106.78       S
30685      O1                  4.12         127.61       S
30685      P1                  1.29         222.67       S
30685      S2                  26.43        123.25       S
30685      T2                  1.56         122.75       S
30725      2N2                 1.98         90.47        S
30725      K1                  3.72         224.39       S
30725      K2                  7.37         115.12       S
30725      L2                  2.13         97.24        S
30725      M2                  69.22        106.45       S
30725      M3                  0.71         110.93       S
30725      M4                  0.86         167.90       S
30725      N2                  13.22        98.18        S
30725      NU2                 2.55         99.00        S
30725      O1                  5.46         125.90       S
30725      P1                  1.08         209.11       S
30725      S2                  25.72        120.80       S
30725      T2                  1.68         104.55       S
30810      2N2                 1.92         85.95        S
30810      K1                  3.21         233.35       S
30810      K2                  7.46         123.84       S
30810      L2                  2.41         144.43       S
30810      LAMBD2              0.52         114.49       S
30810      M2                  74.03        107.45       S
30810      M4                  1.08         159.88       S
30810      MM                  3.30         200.55       S
30810      MSF                 3.10         344.88       S
30810      MSK5                0.66         158.56       S
30810      N2                  14.58        96.70        S
30810      NU2                 2.77         98.14        S
30810      O1                  6.42         119.87       S
30810      P1                  1.06         224.84       S
30810      Q1                  2.08         88.64        S
30810      S2                  27.43        122.61       S
30810      T2                  1.62         122.01       S
30825      2N2                 1.69         108.19       S
30825      K1                  3.62         207.60       S
30825      K2                  6.86         140.12       S
30825      LAMBD2              0.50         129.31       S
30825      M2                  71.56        121.19       S
30825      M4                  2.19         79.72        S
30825      MS4                 1.80         86.26        S
30825      N2                  12.79        114.69       S
30825      NU2                 2.43         115.56       S
30825      O1                  5.35         139.15       S
30825      P1                  1.20         202.46       S
30825      Q1                  1.79         116.01       S
30825      S2                  25.23        138.70       S
30825      T2                  1.49         138.00       S
30955      2MNK7               0.41         24.87        S
30955      2MNO7               0.46         126.35       S
30955      2N2                 2.24         132.29       S
30955      2Q1                 0.12         87.68        S
30955      2SM2                1.63         132.93       S
30955      2SN2                1.02         194.14       S
30955      FI1                 0.07         252.84       S
30955      K1                  5.24         246.84       S
30955      K2                  7.80         164.44       S
30955      L2                  3.79         139.20       S
30955      LAMBD2              0.56         155.86       S
30955      M2                  80.53        149.42       S
30955      MK3                 1.39         46.39        S
30955      MM                  2.33         144.26       S
30955      MSF                 3.20         321.74       S
30955      MTM                 0.75         11.69        S
30955      MU2                 4.40         57.82        S
30955      N2                  17.01        140.85       S
30955      NU2                 3.23         142.00       S
30955      O1                  4.74         166.94       S
30955      P1                  1.73         240.85       S
30955      PI1                 0.10         237.89       S
30955      PSI1                0.04         249.80       S
30955      Q1                  1.65         116.51       S
30955      R2                  0.23         163.87       S
30955      RO1                 0.31         123.27       S
30955      S2                  28.67        163.31       S
30955      SIGMA1              0.15         93.03        S
30955      T2                  1.69         162.76       S
30955      TETA1               0.10         151.92       S
40118      2MN6                0.60         171.40       S
40118      2MS6                0.70         253.50       S
40118      2N2                 2.20         91.10        S
40118      2Q1                 0.20         75.80        S
40118      2SM2                2.90         313.50       S
40118      2SM6                2.20         57.00        S
40118      FI1                 0.00         200.70       S
40118      J1                  0.60         202.20       S
40118      K1                  3.30         200.70       S
40118      K2                  9.20         127.60       S
40118      L2                  3.90         132.20       S
40118      M1                  0.30         196.90       S
40118      M2                  91.70        112.50       S
40118      M3                  1.30         111.10       S
40118      M4                  3.50         300.00       S
40118      M6                  1.00         31.20        S
40118      MK3                 0.20         89.40        S
40118      MM                  1.50         354.80       S
40118      MN4                 0.80         238.80       S
40118      MO3                 1.10         292.40       S
40118      MS4                 2.50         20.60        S
40118      MSF                 4.90         172.10       S
40118      MSN6                1.20         310.70       S
40118      MU2                 4.90         117.60       S
40118      N2                  16.70        103.80       S
40118      NU2                 3.20         103.80       S
40118      O1                  6.60         127.90       S
40118      OO1                 0.40         323.20       S
40118      P1                  1.10         200.70       S
40118      PI1                 0.10         200.70       S
40118      PSI1                0.00         200.70       S
40118      Q1                  1.80         101.90       S
40118      S2                  33.80        127.60       S
40118      SIGMA1              0.20         75.80        S
40118      SN4                 1.10         50.80        S
40118      T2                  2.00         127.60       S
40135      2MS6                0.81         8.42         S
40135      2N2                 1.95         117.18       S
40135      K1                  4.10         213.98       S
40135      K2                  10.43        122.48       S
40135      LAMBD2              0.57         117.98       S
40135      M2                  81.73        114.60       S
40135      M3                  1.41         118.94       S
40135      M4                  1.78         288.09       S
40135      M6                  0.66         11.59        S
40135      MN4                 0.59         235.54       S
40135      MS4                 1.94         35.52        S
40135      MU2                 4.36         104.91       S
40135      N2                  14.78        115.89       S
40135      N4                  0.76         142.81       S
40135      NU2                 2.81         115.72       S
40135      O1                  5.92         123.01       S
40135      P1                  1.36         207.16       S
40135      Q1                  1.28         95.07        S
40135      S2                  38.35        121.89       S
40135      SK3                 0.88         269.82       S
40135      T2                  2.26         121.60       S
40140      2N2                 1.96         102.08       S
40140      2SM2                0.65         258.42       S
40140      K1                  3.94         212.45       S
40140      K2                  8.61         117.66       S
40140      K1J2                0.74         304.48       S
40140      L2                  2.42         109.71       S
40140      LAMBD2              1.12         58.46        S
40140      M1                  0.84         244.75       S
40140      M2                  78.16        110.39       S
40140      M3                  1.10         125.03       S
40140      M4                  1.07         291.20       S
40140      MF                  3.12         19.61        S
40140      MNS2                0.74         109.44       S
40140      MS4                 1.11         24.11        S
40140      MSN2                0.63         276.90       S
40140      MST2                0.67         240.35       S
40140      MTS2                1.02         120.06       S
40140      MU2                 2.92         116.98       S
40140      N2                  14.60        107.48       S
40140      NU2                 2.83         109.16       S
40140      O1                  6.34         123.01       S
40140      OO1                 0.51         350.42       S
40140      OP2                 1.01         270.65       S
40140      OQ2                 0.50         98.20        S
40140      P1                  1.41         199.61       S
40140      Q1                  1.83         93.93        S
40140      S2                  30.57        124.49       S
40140      SA                  4.81         44.85        S
40140      SK3                 0.68         247.86       S
40140      SNK2                0.56         61.06        S
40140      SSA                 2.85         130.55       S
40140      T2                  2.09         136.81       S
40145      2MN6                0.40         223.00       S
40145      2MS6                0.70         321.00       S
40145      2N2                 1.60         85.00        S
40145      2Q1                 0.10         49.00        S
40145      2SM2                1.30         237.00       S
40145      2SM6                0.60         30.00        S
40145      J1                  1.30         142.00       S
40145      K1                  2.50         206.00       S
40145      K2                  7.10         116.00       S
40145      KQ1                 1.50         342.00       S
40145      L2                  1.30         182.00       S
40145      LAMBD2              0.50         106.00       S
40145      M1                  0.90         92.00        S
40145      M2                  65.60        99.00        S
40145      M3                  1.90         87.00        S
40145      M4                  1.00         198.00       S
40145      M6                  1.10         295.00       S
40145      MK3                 0.30         314.00       S
40145      MM                  3.20         255.00       S
40145      MN4                 0.70         124.00       S
40145      MNS2                0.90         133.00       S
40145      MO3                 1.30         204.00       S
40145      MS4                 0.40         131.00       S
40145      MSF                 4.70         346.00       S
40145      MSN2                1.40         55.00        S
40145      MSN6                1.00         91.00        S
40145      MU2                 2.70         123.00       S
40145      N2                  12.50        92.00        S
40145      NU2                 2.40         93.00        S
40145      O1                  5.40         127.00       S
40145      OO1                 1.10         280.00       S
40145      P1                  0.80         200.00       S
40145      Q1                  2.40         97.00        S
40145      R2                  0.20         115.00       S
40145      RO1                 0.40         101.00       S
40145      S2                  26.00        114.00       S
40145      SK3                 0.40         194.00       S
40145      SN4                 0.60         31.00        S
40145      T2                  1.50         114.00       S
40145      TETA1               0.30         113.00       S
40240      2N2                 0.81         112.89       S
40240      K1                  6.23         182.27       S
40240      K2                  5.89         98.68        S
40240      L2                  1.84         99.85        S
40240      M2                  44.33        85.34        S
40240      M4                  0.96         63.78        S
40240      N2                  6.11         99.12        S
40240      NU2                 1.16         97.27        S
40240      O1                  8.66         96.35        S
40240      P1                  2.06         175.83       S
40240      Q1                  2.51         66.95        S
40240      S2                  21.66        97.68        S
40240      T2                  1.28         97.19        S
40250      2MS6                0.50         47.40        S
40250      2N2                 1.60         112.20       S
40250      2Q1                 0.50         78.40        S
40250      K1                  5.20         158.10       S
40250      K2                  6.10         96.70        S
40250      K1J2                0.50         279.00       S
40250      L2                  1.40         88.30        S
40250      LAMBD2              0.60         3.60         S
40250      M2                  46.20        88.60        S
40250      M3                  0.70         97.30        S
40250      MKS2                0.70         163.30       S
40250      MM                  1.50         273.60       S
40250      MNS2                0.60         98.30        S
40250      MO3                 0.50         242.70       S
40250      MS4                 0.60         272.80       S
40250      MSF                 1.10         213.80       S
40250      MSN2                0.50         232.70       S
40250      MU2                 2.10         106.60       S
40250      N2                  6.80         97.30        S
40250      NU2                 1.30         103.40       S
40250      O1                  8.80         97.60        S
40250      OQ2                 0.60         359.40       S
40250      P1                  1.80         149.50       S
40250      PI1                 0.10         266.80       S
40250      Q1                  2.60         66.80        S
40250      S1                  0.60         100.80       S
40250      S2                  20.40        99.20        S
40250      SA                  5.50         1.80         S
40250      SIGMA1              0.50         46.10        S
40250      SK3                 0.70         227.80       S
40250      SSA                 0.70         73.80        S
40250      T2                  0.80         143.30       S
40255      2N2                 0.89         110.93       S
40255      K1                  5.54         157.84       S
40255      K2                  5.85         100.71       S
40255      M1                  1.69         80.67        S
40255      M2                  45.48        88.68        S
40255      M4                  0.73         71.86        S
40255      N2                  6.76         99.81        S
40255      NU2                 1.28         98.31        S
40255      O1                  8.66         95.79        S
40255      P1                  1.84         153.19       S
40255      Q1                  2.02         69.75        S
40255      S2                  21.50        99.80        S
40255      T2                  1.27         99.36        S
40263      2KN2S2              0.51         50.62        S
40263      2N2                 0.90         122.39       S
40263      2SM2                0.51         304.00       S
40263      K1                  3.48         199.27       S
40263      K2                  4.63         136.64       S
40263      L2                  0.62         137.49       S
40263      M1                  0.52         153.47       S
40263      M2                  39.62        131.34       S
40263      M4                  1.04         222.17       S
40263      MS4                 0.70         280.70       S
40263      MST2                0.55         157.83       S
40263      MTS2                0.59         327.41       S
40263      MU2                 1.33         134.11       S
40263      N2                  6.77         132.39       S
40263      NU2                 1.29         132.02       S
40263      O1                  5.58         121.05       S
40263      P1                  1.37         180.88       S
40263      Q1                  1.59         82.20        S
40263      S1                  0.73         238.87       S
40263      S2                  15.85        143.34       S
40263      SSA                 19.93        356.60       S
40263      T2                  0.62         148.49       S
40280      2N2                 0.90         107.29       S
40280      K1                  6.94         153.54       S
40280      K2                  6.24         98.12        S
40280      L2                  2.78         92.68        S
40280      M2                  46.15        86.42        S
40280      M4                  1.41         50.92        S
40280      MK3                 1.35         78.94        S
40280      MN4                 0.58         33.96        S
40280      MS4                 0.56         72.79        S
40280      N2                  6.80         96.86        S
40280      NU2                 1.29         95.46        S
40280      O1                  7.67         98.85        S
40280      P1                  2.30         149.44       S
40280      Q1                  2.33         74.18        S
40280      S2                  22.94        97.24        S
40280      S8                  0.54         327.33       S
40280      SN4                 0.53         139.19       S
40280      T2                  1.35         96.81        S
50116      2MN6                0.81         263.13       S
50116      2MS6                0.92         316.55       S
50116      2N2                 1.02         120.99       S
50116      2Q1                 0.64         38.53        S
50116      2SK2                0.61         62.03        S
50116      K1                  5.61         154.19       S
50116      K2                  5.32         78.24        S
50116      L2                  1.64         93.60        S
50116      M2                  36.31        82.97        S
50116      M4                  2.37         33.01        S
50116      M6                  0.91         295.23       S
50116      MKS2                0.75         338.90       S
50116      MN4                 1.09         351.63       S
50116      MS4                 1.18         107.81       S
50116      MST2                1.09         159.58       S
50116      MTS2                1.06         191.97       S
50116      MU2                 1.96         90.62        S
50116      N2                  4.77         99.55        S
50116      NU2                 0.74         93.58        S
50116      O1                  10.15        93.12        S
50116      OP2                 1.33         223.53       S
50116      P1                  1.93         138.72       S
50116      Q1                  2.83         70.59        S
50116      S2                  18.24        91.28        S
50116      SA                  11.68        49.41        S
50116      SSA                 7.35         171.41       S
50116      T2                  0.59         148.12       S
50140      2N2                 1.37         142.97       S
50140      3MN4                0.73         292.39       S
50140      K1                  5.89         147.56       S
50140      K2                  5.57         84.19        S
50140      K1J2                0.59         265.51       S
50140      L2                  1.31         110.68       S
50140      LAMBD2              0.53         14.89        S
50140      M2                  32.45        84.53        S
50140      M3                  0.71         196.16       S
50140      M4                  5.11         75.91        S
50140      MK4                 0.75         180.45       S
50140      MN4                 2.32         24.45        S
50140      MS4                 2.63         175.11       S
50140      MTS2                0.79         132.87       S
50140      MU2                 1.74         103.19       S
50140      N2                  3.91         123.05       S
50140      N4                  0.54         335.92       S
50140      O1                  10.48        88.82        S
50140      P1                  2.13         136.52       S
50140      Q1                  2.92         60.74        S
50140      RO1                 0.55         74.79        S
50140      S1                  1.09         73.02        S
50140      S2                  17.91        91.52        S
50140      S3                  0.60         188.69       S
50140      SA                  5.46         12.65        S
50140      SSA                 4.40         25.85        S
50145      2MS6                0.52         181.16       S
50145      2N2                 0.55         195.55       S
50145      J1                  1.21         252.77       S
50145      K1                  5.65         151.42       S
50145      K2                  6.05         96.37        S
50145      L2                  2.81         27.11        S
50145      M2                  39.65        90.69        S
50145      M3                  2.36         225.39       S
50145      M4                  18.71        114.11       S
50145      MN4                 8.21         61.40        S
50145      MS4                 8.13         219.36       S
50145      N2                  4.17         143.12       S
50145      NO3                 0.93         325.82       S
50145      NU2                 0.79         136.09       S
50145      O1                  11.51        89.66        S
50145      P1                  1.87         146.79       S
50145      Q1                  2.85         70.80        S
50145      RO1                 0.54         73.33        S
50145      S2                  22.24        95.95        S
50145      SK3                 0.78         233.63       S
50145      T2                  1.31         95.74        S
50156      2M2SK9              0.08         78.34        S
50156      2MK5                0.17         19.33        N
50156      2MK6                0.12         295.91       S
50156      2MN6                0.48         242.60       S
50156      2MO5                0.17         300.38       S
50156      2MS6                0.45         296.12       S
50156      2N2                 0.94         126.65       S
50156      2NM6                0.11         211.78       S
50156      2Q1                 0.50         8.96         S
50156      2SM2                0.47         304.95       S
50156      2SM6                0.13         305.83       S
50156      3MN4                0.29         229.49       S
50156      3MS4                0.22         299.09       S
50156      3MS8                0.09         18.56        S
50156      3MSN6               0.21         166.56       S
50156      4MN6                0.23         105.09       S
50156      4MS10               0.11         49.57        S
50156      K1                  6.27         144.29       S
50156      K2                  4.95         78.49        S
50156      K1J2                0.44         277.91       S
50156      L2                  1.32         30.32        S
50156      M1                  0.66         134.74       S
50156      M10                 0.10         294.63       S
50156      M2                  32.17        77.96        S
50156      M3                  0.31         115.06       S
50156      M4                  2.23         21.88        S
50156      M6                  0.49         264.02       S
50156      MK4                 0.29         102.33       S
50156      MKS2                0.46         73.44        S
50156      MN4                 0.94         331.22       S
50156      MO3                 0.27         80.55        S
50156      MS4                 0.92         103.02       S
50156      MSK6                0.22         306.86       S
50156      MSN6                0.13         251.60       S
50156      MU2                 1.73         90.78        S
50156      N2                  4.63         109.00       S
50156      N4                  0.21         302.96       S
50156      NO3                 0.25         322.28       S
50156      NU2                 0.44         84.56        S
50156      O1                  10.63        87.48        S
50156      OO1                 0.36         9.69         S
50156      P1                  2.19         143.29       S
50156      Q1                  2.47         67.87        S
50156      R2                  0.43         111.54       S
50156      RO1                 0.72         58.65        S
50156      S1                  0.78         148.13       S
50156      S2                  16.52        86.00        S
50156      SIGMA1              0.43         50.69        S
50156      SN4                 0.27         59.41        S
50156      SP3                 0.29         192.05       S
50156      T2                  0.86         81.46        S
50165      2MP3                0.28         115.81       S
50165      2MSK4               0.36         228.48       S
50165      2N2                 1.72         127.13       S
50165      3MN4                1.05         321.46       S
50165      3MS4                0.49         16.58        S
50165      J1                  0.66         250.16       S
50165      K1                  5.90         145.59       S
50165      K2                  5.71         80.36        S
50165      L2                  2.34         52.63        S
50165      LAMBD2              0.55         353.11       S
50165      M1                  0.51         49.47        S
50165      M2                  32.90        86.96        S
50165      M3                  1.29         206.13       S
50165      M4                  7.72         96.39        S
50165      MK3                 0.58         111.71       S
50165      MK4                 1.07         211.75       S
50165      MKS2                0.61         83.24        S
50165      MN4                 3.19         48.26        S
50165      MNS2                0.71         104.43       S
50165      MNU4                0.50         39.19        S
50165      MS4                 3.42         191.11       S
50165      MU2                 2.20         113.10       S
50165      N2                  4.39         130.07       S
50165      N4                  0.69         0.61         S
50165      NU2                 0.62         116.68       S
50165      O1                  11.12        88.04        S
50165      OO1                 0.63         292.20       S
50165      P1                  2.06         135.62       S
50165      Q1                  2.62         63.10        S
50165      QUI1                0.64         52.00        S
50165      S2                  19.21        92.99        S
50165      S3                  0.35         47.22        S
50165      SIGMA1              0.61         40.85        S
50165      SK3                 0.32         256.15       S
50165      SK4                 0.42         104.05       S
50165      SL4                 0.60         231.69       S
50165      SN4                 0.43         124.33       S
50165      SO3                 0.40         150.48       S
50165      SP3                 0.46         268.69       S
50165      T2                  0.77         103.94       S
50170      2MN6                1.82         354.12       S
50170      2MS6                1.39         31.85        S
50170      2N2                 0.52         144.95       S
50170      2SM6                0.56         32.82        S
50170      K1                  5.37         155.25       S
50170      K2                  4.96         80.65        S
50170      M2                  32.14        76.10        S
50170      M3                  1.37         168.21       S
50170      M4                  6.36         30.59        S
50170      M6                  1.59         15.72        S
50170      MK3                 0.76         13.48        S
50170      MN4                 3.27         350.50       S
50170      MS4                 3.70         117.85       S
50170      MU2                 2.65         129.40       S
50170      N2                  3.91         110.53       S
50170      N4                  1.00         316.99       S
50170      NU2                 0.74         105.91       S
50170      O1                  11.15        77.66        S
50170      P1                  1.78         149.43       S
50170      Q1                  2.52         68.75        S
50170      S2                  18.24        80.31        S
50170      T2                  1.08         80.14        S
50210      2MN6                0.55         21.90        S
50210      2MS6                0.87         60.98        S
50210      K1                  6.74         128.03       S
50210      K2                  4.95         76.77        S
50210      L2                  1.76         31.43        S
50210      M1                  1.05         75.49        S
50210      M2                  31.93        78.37        S
50210      M3                  2.30         195.64       S
50210      M4                  4.22         356.86       S
50210      M6                  0.74         28.25        S
50210      MK3                 2.05         85.45        S
50210      MN4                 1.78         296.62       S
50210      MS4                 2.93         87.44        S
50210      MU2                 3.42         90.49        S
50210      N2                  3.73         134.56       S
50210      NO3                 0.57         4.70         S
50210      NU2                 0.71         127.03       S
50210      O1                  9.48         85.47        S
50210      P1                  2.23         124.84       S
50210      Q1                  3.47         57.72        S
50210      RO1                 0.66         61.44        S
50210      S2                  18.19        76.89        S
50210      SK3                 1.29         207.55       S
50210      T2                  1.07         76.95        S
50225      2MN6                0.54         134.66       S
50225      2MQ3                0.73         18.64        S
50225      2MSK4               0.51         108.35       S
50225      2N2                 1.74         155.26       S
50225      2SK2                0.77         187.29       S
50225      2SM2                0.59         221.51       S
50225      3MS4                0.88         347.19       S
50225      J1                  0.71         181.76       S
50225      K1                  6.44         143.62       S
50225      K2                  7.43         81.90        S
50225      K1J2                0.80         270.46       S
50225      L2                  1.70         34.74        S
50225      LAMBD2              0.78         12.31        S
50225      M1                  1.21         100.59       S
50225      M2                  36.42        87.80        S
50225      M3                  4.86         232.03       S
50225      M4                  2.38         351.36       S
50225      M6                  0.60         167.87       S
50225      MK3                 2.49         112.64       S
50225      MK4                 0.64         175.11       S
50225      MKS2                1.27         167.61       S
50225      MN4                 1.26         319.32       S
50225      MO3                 0.76         94.26        S
50225      MS4                 2.27         140.66       S
50225      MSN2                0.88         213.63       S
50225      MST2                0.96         347.06       S
50225      MTS2                0.97         18.08        S
50225      MU2                 2.09         124.04       S
50225      N2                  5.54         149.94       S
50225      O1                  11.67        82.58        S
50225      OP2                 0.61         336.66       S
50225      OQ2                 0.64         73.23        S
50225      P1                  2.34         137.26       S
50225      Q1                  2.54         56.39        S
50225      R2                  0.75         149.73       S
50225      S1                  0.96         134.07       S
50225      S2                  22.51        90.79        S
50225      S3                  1.26         306.57       S
50225      S4                  0.72         193.28       S
50225      SA                  10.79        27.39        S
50225      SK3                 1.46         302.79       S
50225      SN4                 0.77         53.33        S
50225      SO3                 1.59         136.86       S
50225      SP3                 1.68         285.31       S
50225      T2                  0.82         17.83        S
60130      2M2S8               0.82         179.23       S
60130      2MQ3                1.88         282.80       S
60130      2N2                 0.76         246.53       S
60130      2SM2                2.83         188.13       S
60130      2SM6                1.33         132.89       S
60130      2SN2                2.96         124.73       S
60130      3SM8                1.79         173.82       S
60130      K1                  5.33         136.07       S
60130      K2                  5.70         90.36        S
60130      M2                  37.57        79.80        S
60130      M3                  10.72        225.62       S
60130      M4                  9.39         176.29       S
60130      MK3                 4.13         121.31       S
60130      MM                  20.77        89.81        S
60130      MN4                 3.85         117.25       S
60130      MO3                 6.15         6.06         S
60130      MS4                 3.60         267.76       S
60130      MSN2                3.97         257.53       S
60130      MU2                 5.37         141.92       S
60130      N2                  5.73         163.17       S
60130      NU2                 1.09         152.00       S
60130      O1                  12.11        76.96        S
60130      P1                  1.76         131.64       S
60130      Q1                  4.22         53.48        S
60130      RO1                 0.80         56.63        S
60130      S2                  20.96        89.57        S
60130      S4                  2.83         272.35       S
60130      S8                  1.18         276.14       S
60130      T2                  1.24         89.18        S
60132      2MP3                1.42         113.24       S
60132      2MS6                0.99         178.96       S
60132      2MTS4               0.63         321.20       S
60132      2N2                 2.52         159.77       S
60132      2Q1                 0.51         44.89        S
60132      2SK2                0.66         292.15       S
60132      2SM2                1.67         273.44       S
60132      2SN2                0.63         63.68        S
60132      3MN4                2.07         129.11       S
60132      3MS4                1.75         154.87       S
60132      K1                  7.35         144.22       S
60132      K2                  10.12        95.50        S
60132      K1J2                0.85         282.66       S
60132      L2                  4.61         82.16        S
60132      LAMBD2              1.37         48.34        S
60132      M1                  0.82         8.06         S
60132      M2                  48.14        97.23        S
60132      M3                  15.40        256.46       S
60132      M4                  16.39        274.92       S
60132      MK3                 5.37         152.59       S
60132      MK4                 2.02         15.68        S
60132      MKS2                1.30         173.30       S
60132      MN4                 6.75         219.11       S
60132      MNK2S2              0.53         324.45       S
60132      MNK5                0.72         139.26       S
60132      MNU4                1.83         247.05       S
60132      MO3                 7.26         28.68        S
60132      MS4                 7.09         5.91         S
60132      MSN2                0.53         232.84       S
60132      MU2                 4.09         149.41       S
60132      N2                  7.81         167.35       S
60132      N4                  2.04         153.95       S
60132      NO3                 2.30         20.87        S
60132      NU2                 0.81         187.20       S
60132      O1                  10.69        81.86        S
60132      OP2                 0.92         3.03         S
60132      OQ2                 0.59         80.97        S
60132      P1                  2.62         146.47       S
60132      Q1                  3.27         70.82        S
60132      R2                  0.60         165.47       S
60132      RO1                 0.86         126.69       S
60132      S1                  1.78         105.96       S
60132      S2                  32.25        103.29       S
60132      S3                  3.31         341.26       S
60132      S4                  0.88         346.73       S
60132      SK3                 4.00         330.32       S
60132      SK4                 1.54         359.78       S
60132      SL4                 1.14         96.57        S
60132      SN4                 0.69         13.72        S
60132      SO3                 5.61         181.19       S
60132      SP3                 2.60         342.55       S
60132      SQ3                 1.20         118.95       S
60132      T2                  1.34         121.78       S
60132      TETA1               0.52         327.69       S
60135      2MP3                0.99         82.74        S
60135      2MS6                0.87         66.08        S
60135      2N2                 2.01         149.49       S
60135      2Q1                 0.64         70.73        S
60135      2SK2                0.74         344.49       S
60135      2SM2                0.83         282.87       S
60135      3MS4                1.15         142.89       S
60135      K1                  6.06         141.51       S
60135      K2                  7.81         86.44        S
60135      K1J2                0.83         287.39       S
