0, 0, 1, 0, 0, 0.0410686
0, 0, 2, 0, 0, 0.0821373
0, 1, 0, -1, 0, 0.5443747
0, 2, 0, 0, 0, 1.0980331
0, 3, 0, -1, 0, 1.6424077
1, -3, 0, 2, -1, 12.8542862
1, -3, 2, 0, -1, 12.9271398
1, -2, 0, 1, -1, 13.3986609
1, -2, 2, -1, -1, 13.4715145
1, -1, 0, 0, -1, 13.9430356
1, -1, 2, 0, 1, 14.0251729
1, 0, 0, 1, 1, 14.496694
1, 0, 2, -1, 1, 14.5695476
1, 1, -3, 0, -1, 14.9178647
1, 1, -2, 0, -1, 14.9589314
1, 1, -1, 0, 2, 15
1, 1, 0, 0, 1, 15.0410686
1, 1, 1, 0, 1, 15.0821353
1, 1, 2, 0, 1, 15.1232059
1, 2, -2, 1, 1, 15.5125897
1, 2, 0, -1, 1, 15.5854433
1, 3, 0, 0, 1, 16.1391017
2, -3, 2, 1, 0, 27.4238337
2, -2, 0, 2, 0, 27.8953548
2, -2, 2, 0, 0, 27.9682084
2, -1, 0, 1, 0, 28.4397295
2, -1, 2, -1, 0, 28.5125831
2, 0, 0, 0, 0, 28.9841042
2, 1, -2, 1, 2, 29.4556253
2, 1, 0, -1, 2, 29.5284789
2, 2, -3, 0, 0, 29.9589333
2, 2, -2, 0, 0, 30
2, 2, -1, 0, 2, 30.0410667
2, 2, 0, 0, 0, 30.0821373
2, 3, -2, 1, 0, 30.553658
2, 3, 0, -1, 0, 30.625119
3, 0, 0, 0, 2, 43.476156
